id,name,type,parentId
1,China,1,0
2,Mongolia,1,0
3,North Korea,1,0
4,South Korea,1,0
5,Japan,1,0
6,Philippines,1,0
7,Vietnam,1,0
8,Laos,1,0
9,Cambodia,1,0
10,Myanmar,1,0
11,Thailand,1,0
12,Malaysia,1,0
13,Brunei,1,0
14,Singapore,1,0
15,Indonesia,1,0
16,Timor-Leste,1,0
17,Nepal,1,0
18,Bhutan,1,0
19,Bangladesh,1,0
20,India,1,0
21,Pakistan,1,0
22,Sri Lanka,1,0
23,Maldives,1,0
24,Kazakhstan,1,0
25,Kyrgyzstan,1,0
26,Tajikistan,1,0
27,Uzbekistan,1,0
28,Turkmenistan,1,0
29,Afghanistan,1,0
30,Iraq,1,0
31,Iran,1,0
32,Syria,1,0
33,Jordan,1,0
34,Lebanon,1,0
35,Israel,1,0
36,Palestine,1,0
37,Saudi Arabia,1,0
38,Bahrain,1,0
39,Qatar,1,0
40,Kuwait,1,0
41,United Arab Emirates,1,0
42,Oman,1,0
43,Yemen,1,0
44,Georgia,1,0
45,Armenia,1,0
46,Azerbaijan,1,0
47,Turkey,1,0
48,Cyprus,1,0
49,Finland,1,0
50,Sweden,1,0
51,Norway,1,0
52,Iceland,1,0
53,Denmark,1,0
54,Estonia,1,0
55,Latvia,1,0
56,Lithuania,1,0
57,Belarus,1,0
58,Russia,1,0
59,Ukraine,1,0
60,Moldova,1,0
61,Poland,1,0
62,Czech Republic,1,0
63,Slovakia,1,0
64,Hungary,1,0
65,Germany,1,0
66,Austria,1,0
67,Switzerland,1,0
68,Liechtenstein,1,0
69,United Kingdom,1,0
70,Ireland,1,0
71,Netherlands,1,0
72,Belgium,1,0
73,Luxembourg,1,0
74,France,1,0
75,Monaco,1,0
76,Romania,1,0
77,Bulgaria,1,0
78,Serbia,1,0
79,North Macedonia,1,0
80,Albania,1,0
81,Greece,1,0
82,Slovenia,1,0
83,Croatia,1,0
84,Bo Si Ni Ya He Mo Sai Ge Wei Na,1,0
85,Italy,1,0
86,Vatican City,1,0
87,San Marino,1,0
88,Malta,1,0
89,Spain,1,0
90,Portugal,1,0
91,AndorraGong He Guo,1,0
92,Egypt,1,0
93,Libya,1,0
94,Sudan,1,0
95,Tunisia,1,0
96,Algeria,1,0
97,Morocco,1,0
98,Ya Su Er Qun Dao,1,0
99,Ma De La Qun Dao,1,0
100,Ethiopia,1,0
101,Eritrea,1,0
102,Somalia,1,0
103,Djibouti,1,0
104,Kenya,1,0
105,Tanzania,1,0
106,Uganda,1,0
107,Rwanda,1,0
108,Burundi,1,0
109,Seychelles,1,0
110,Sheng Duo Mei Ji Pu Lin Xi Bi,1,0
111,Senegal,1,0
112,Gambia,1,0
113,Mali,1,0
114,Burkina Faso,1,0
115,Guinea,1,0
116,Guinea-Bissau,1,0
117,Cape Verde,1,0
118,Sierra Leone,1,0
119,Liberia,1,0
120,Cote dIvoire,1,0
121,Ghana,1,0
122,Togo,1,0
123,Benin,1,0
124,Niger,1,0
125,Jia Na Li Qun Dao,1,0
126,Zambia,1,0
127,Angola,1,0
128,Zimbabwe,1,0
129,Malawi,1,0
130,Mozambique,1,0
131,Botswana,1,0
132,Namibia,1,0
133,South Africa,1,0
134,Eswatini,1,0
135,Lesotho,1,0
136,Madagascar,1,0
137,Comoros,1,0
138,Mauritius,1,0
139,Liu Ni Wang,1,0
140,Sheng He Lei Na,1,0
141,Australia,1,0
142,New Zealand,1,0
143,Papua New Guinea,1,0
144,Solomon Islands,1,0
145,VanuatuGong He Guo,1,0
146,Micronesia,1,0
147,Marshall Islands,1,0
148,Palau,1,0
149,Nauru,1,0
150,Kiribati,1,0
151,Tuvalu,1,0
152,Samoa,1,0
153,Fiji,1,0
154,Tonga,1,0
155,Ku Ke Qun Dao,1,0
156,Guan Dao,1,0
157,Xin Ka Li Duo Ni Ya,1,0
158,Fa Shu Bo Li Ni Xi Ya,1,0
159,Pi Te Kai En Dao,1,0
160,Wa Li Si Yu Fu Tu Na,1,0
161,Niu Ai,1,0
162,Tuo Ke Lao,1,0
163,Mei ShuSamoa,1,0
164,BeiMaliYa Na,1,0
165,Canada,1,0
166,United States,1,0
167,Mexico,1,0
168,Ge Ling Lan,1,0
169,Guatemala,1,0
170,Belize,1,0
171,El Salvador,1,0
172,Honduras,1,0
173,Nicaragua,1,0
174,Costa Rica,1,0
175,Panama,1,0
176,Bahamas,1,0
177,Cuba,1,0
178,Jamaica,1,0
179,Haiti,1,0
180,Dominican Republic,1,0
181,Antigua and Barbuda,1,0
182,Saint Kitts and Nevis,1,0
183,Dominica,1,0
184,Saint Lucia,1,0
185,Saint Vincent and the Grenadines,1,0
186,Grenada,1,0
187,Barbados,1,0
188,Trinidad and Tobago,1,0
189,Bo Duo Li Ge,1,0
190,Ying Shu Wei Er Jing Qun Dao,1,0
191,Mei Shu Wei Er Jing Qun Dao,1,0
192,An Gui La,1,0
193,Meng Te Sai La Te Dao,1,0
194,Gua De Luo Pu,1,0
195,Ma Ti Ni Ke,1,0
196,He Shu An De Lie Si,1,0
197,A Lu Ba,1,0
198,Te Ke Si He Kai Ke Si Qun Dao,1,0
199,Kai Man Qun Dao,1,0
200,Bai Mu Da,1,0
201,Colombia,1,0
202,Venezuela,1,0
203,Guyana,1,0
204,Fa ShuGuyana,1,0
205,Suriname,1,0
206,Ecuador,1,0
207,Peru,1,0
208,Bolivia,1,0
209,Brazil,1,0
210,Chile,1,0
211,Argentina,1,0
212,Uruguay,1,0
213,Paraguay,1,0
214,Bo Hei,1,0
215,Zhi Bu Luo Tuo,1,0
216,Xin Ka Li Duo Ni Ya Qun Dao,1,0
217,Wa Li Si He Fu Tu Na Qun Dao,1,0
218,Ze Xi Dao,1,0
219,Hei Shan,1,0
220,Ying Shu Ma En Dao,1,0
221,Nigeria,1,0
222,Cameroon,1,0
223,Gabon,1,0
224,Chad,1,0
225,Republic of the Congo,1,0
226,Central African Republic,1,0
227,South Sudan,1,0
228,Equatorial Guinea,1,0
229,Mauritania,1,0
230,Democratic Republic of the Congo,1,0
231,Liu Ni Wang Dao,1,0
232,Ge Ling Lan Dao,1,0
233,Fa Luo Qun Dao,1,0
234,Gen Xi Dao,1,0
235,Bai Mu Da Qun Dao,1,0
236,Sheng Pi Ai Er He Mi Ke Long Qun Dao,1,0
237,Fa Shu Sheng Ma Ding,1,0
238,Ao Lan Qun Dao,1,0
239,BeiMaliYa Na Qun Dao,1,0
240,Ku La Suo,1,0
241,Bo Nei Er Dao,1,0
242,Sheng Ma Ding Dao,1,0
243,Sheng Ba Tai Lei Mi Dao,1,0
244,Fu Ke Lan Qun Dao,1,0
245,Sao Tome and Principe,1,0
246,Ying ShuIndiaYang Ling Di,1,0
247,DongSamoa,1,0
248,Nuo Fu Ke Dao,1,0
110000,Bei Jing Shi,2,1
120000,Tian Jin Shi,2,1
130000,He Bei Sheng,2,1
140000,Shan Xi Sheng,2,1
150000,NeiMongoliaZi Zhi Qu,2,1
210000,Liao Ning Sheng,2,1
220000,Ji Lin Sheng,2,1
230000,Hei Long Jiang Sheng,2,1
310000,Shang Hai Shi,2,1
320000,Jiang Su Sheng,2,1
330000,Zhe Jiang Sheng,2,1
340000,An Hui Sheng,2,1
350000,Fu Jian Sheng,2,1
360000,Jiang Xi Sheng,2,1
370000,Shan Dong Sheng,2,1
410000,He Nan Sheng,2,1
420000,Hu Bei Sheng,2,1
430000,Hu Nan Sheng,2,1
440000,Guang Dong Sheng,2,1
450000,Guang Xi Zhuang Zu Zi Zhi Qu,2,1
460000,Hai Nan Sheng,2,1
500000,Chong Qing Shi,2,1
510000,Si Chuan Sheng,2,1
520000,Gui Zhou Sheng,2,1
530000,Yun Nan Sheng,2,1
540000,Xi Zang Zi Zhi Qu,2,1
610000,Shan Xi Sheng,2,1
620000,Gan Su Sheng,2,1
630000,Qing Hai Sheng,2,1
640000,Ning Xia Hui Zu Zi Zhi Qu,2,1
650000,Xin Jiang Wei Wu Er Zi Zhi Qu,2,1
110100,Bei Jing Shi,3,110000
120100,Tian Jin Shi,3,120000
130100,Shi Jia Zhuang Shi,3,130000
130200,Tang Shan Shi,3,130000
130300,Qin Huang Dao Shi,3,130000
130400,Han Dan Shi,3,130000
130500,Xing Tai Shi,3,130000
130600,Bao Ding Shi,3,130000
130700,Zhang Jia Kou Shi,3,130000
130800,Cheng De Shi,3,130000
130900,Cang Zhou Shi,3,130000
131000,Lang Fang Shi,3,130000
131100,Heng Shui Shi,3,130000
140100,Tai Yuan Shi,3,140000
140200,Da Tong Shi,3,140000
140300,Yang Quan Shi,3,140000
140400,Zhang Zhi Shi,3,140000
140500,Jincity,3,140000
140600,Shuo Zhou Shi,3,140000
140700,Jin Zhong Shi,3,140000
140800,Yuncity,3,140000
140900,Xin Zhou Shi,3,140000
141000,Lin Fen Shi,3,140000
141100,Lv Liang Shi,3,140000
150100,Hu He Hao Te Shi,3,150000
150200,Bao Tou Shi,3,150000
150300,Wu Hai Shi,3,150000
150400,Chi Feng Shi,3,150000
